q,n,r,lower_bound,upper_bound,lower_bound_reference,upper_bound_reference
2,2,46,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,2,47,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,2,48,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,1,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,3,2,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,3,3,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,4,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,5,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,6,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,7,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,8,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,23,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,24,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,25,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,26,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,27,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,28,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,29,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,30,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,31,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,32,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,33,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,34,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,35,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,36,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,37,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,38,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,39,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,40,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,41,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,42,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,43,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,44,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,45,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,46,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,47,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,3,48,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,1,4,4,rule_sphere_covering_bound,rule_constant_symbol;rule_free_lengthening
2,4,2,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,4,3,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,4,4,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,5,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,6,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,7,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,8,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
